id,name,unit,price,oldPrice,category,emoji,badge,variants,stock
1,Mezan Cooking Oil - 1Ltr,,640,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/m/e/mezan_-_mezan_cooking_oil_1l.jpg,,,40
2,Sugar - 1kg,,225,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/s/u/sugar_1_kg.jpg,,,3
3,Falak Bachat Long Grain Rice - 1kg,,360,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/f/a/falak_image_update.png,,,25
4,Al-Khubz Fine Atta - 10kg,,1720,140,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/0/c/0ced3b4a-8395-4762-be79-b128316f2638.jpg,SALE,,0
5,Daal Chana (Medium) - 500gm,,175,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/1/0/1058804-1.jpg,PROMO,,60
6,Daal Moong (Washed) - 500gm,,235,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/d/a/daal_moong_washed_500g_.jpg,PROMO,,50
7,Daal Masoor (Big) - 500gm,,175,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/1/0/1058807-1_1.jpg,PROMO,,5
8,National Turmeric Powder - 100gm,,330,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/n/a/national_-_national_spices_turmeric_powder_100g_1.jpg,PROMO,,15
9,National Iodized Refined Salt - 800gm,,72,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/n/f/nf_iodized_refined_salt_800gm.jpg,PROMO,,20
10,National Chilli Powder - 100gm,,220,150,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/0/_04661_2.jpg,PROMO,,0
11,National Garam Masala Powder - 50gm,,330,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/n/a/national_-_national_spices_garam_masala_powder_50g.jpg,PROMO,,18
12,White Zeera (Cumin Seed) - 100gm,,350,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/1/_10395.jpg,PROMO,,2
13,Green Cardamom (Elaichi) - 50gm,,1420,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/0/_09136_1.jpg,PROMO,,30
14,Daali Barley Flour - 700gm,,500,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/d/a/daali_barley_flour_700gm.png,PROMO,,44
15,Suree Rice Sticks 3mm - 400gm,,840,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/8/8850344321468_-_1_5.JPG,PROMO,,4
16,White Zeera Powder (Cumin Powder) - 100gm,,380,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/1/_10215_1.jpg,PROMO,,12
17,Turmeric (Haldi) - 100gm,,130,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/1/_10210.jpg,PROMO,,43
18,Nawab's Extra Virgin Mustard Oil - 1Ltr,,1185,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/8/883180478971.jpg,PROMO,,46
19,Sugar - 2kg,,445,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/s/u/sugar_2_kg_1.jpg,PROMO,,49
20,Al-Khubz Chakki Atta - 10kg,,1740,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/5/6/56ca78e5-b155-4f9c-b8aa-7c78331d71fa.jpg,PROMO,,52
21,Tamarind (Imli) - 500gm,,460,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/0/_09135_1.jpg,PROMO,,55
22,National Tomato Ketchup Pouch - 800gm,,410,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/1/0/1033787-rpl-1_1.png,PROMO,,58
23,National Refined Salt - 800gm,,72,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/n/f/nf_refined_salt_800gm.jpg,PROMO,,61
24,Guard Ultimate Basmati Rice - 5kg,,3160,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/5/7/5796321475003_1.jpg,PROMO,,64
